Program "PAW_quantitative_report.py" run on Sun Oct 15 16:01:44 2017

	=SUBTOTAL(109,B5:B4441)													Total	Total	Total	Total	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	PAMI_GMCSF_A_TMT_20161027	PAMI_GMCSF_B_TMT_20161028	PAMI_GMCSF_C_TMT_20161031	PAMI_GMCSF_D_TMT_20161101	PAMI_GMCSF_A_TMT_20161027	PAMI_GMCSF_B_TMT_20161028	PAMI_GMCSF_C_TMT_20161031	PAMI_GMCSF_D_TMT_20161101	PAMI_GMCSF_A_TMT_20161027	PAMI_GMCSF_B_TMT_20161028	PAMI_GMCSF_C_TMT_20161031	PAMI_GMCSF_D_TMT_20161101
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	10	8	0.800	2	3	2	3	2	3	1	2	2.000	3.000	1.059	2.087
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	25.1	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	63	61	0.968	14	10	17	22	14	10	16	21	14.000	10.000	16.941	21.913
3	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	 	 	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, sp|P07724|ALBU_MOUSE	contaminant	16.5	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	270	11	0.041	61	62	79	68	2	3	3	3	2.825	3.181	3.233	3.843
4	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	 	 	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, sp|P07724|ALBU_MOUSE	contaminant	14.1	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	61	6	0.098	17	12	15	17	1	3	1	1	1.378	3.015	1.023	1.378
6	1	CONT_019|CAS1_BOVIN	 	 	 	contaminant	14.5	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	8	8	1.000	1	3	2	2	1	3	2	2	1.000	3.000	2.000	2.000
7	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	11.6	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	8	8	1.000	2	3	1	2	2	3	1	2	2.000	3.000	1.000	2.000
9	1	CONT_064|gi|254622|bbs|112352 (+1)	CONT_064|gi|254622|bbs|112352&CONT_072|gi|547754|sp|P35908|K22E_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE	contaminant	32.1	645	65911	(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa].	67	33	0.493	20	14	19	14	12	6	10	5	16.676	11.070	15.867	11.384
10	1	CONT_068|gi|1082558|pir||S41161 (+1)	CONT_068|gi|1082558|pir||S41161&CONT_105|gi|547748|sp|P35527|K1CI_HUMAN	 	CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q9QWL7|K1C17_MOUSE	contaminant	32.9	623	62129	keratin 9, cytoskeletal [Homo sapiens].	72	67	0.931	18	19	17	18	17	18	15	17	17.261	18.261	15.521	17.261
15	1	CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN	 	 	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE	contaminant	37.4	644	66017	KERATIN, TYPE II CYTOSKELETAL 1 (CYTOKERATIN 1) (K1) (CK 1) (67 KD CYTOKERATIN) (HAIR ALPHA PROTEIN) [Homo sapiens].	98	23	0.235	22	30	28	18	5	11	4	3	20.476	26.863	23.309	15.708
