New PAW TMT results file!
Program "PAW_quantitative_report.py" run on Sun Oct 15 16:01:44 2017
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_PAMI_GMCSF_A_TMT_20161027	Total_PAMI_GMCSF_B_TMT_20161028	Total_PAMI_GMCSF_C_TMT_20161031	Total_PAMI_GMCSF_D_TMT_20161101	Unique_PAMI_GMCSF_A_TMT_20161027	Unique_PAMI_GMCSF_B_TMT_20161028	Unique_PAMI_GMCSF_C_TMT_20161031	Unique_PAMI_GMCSF_D_TMT_20161101	Corrected_PAMI_GMCSF_A_TMT_20161027	Corrected_PAMI_GMCSF_B_TMT_20161028	Corrected_PAMI_GMCSF_C_TMT_20161031	Corrected_PAMI_GMCSF_D_TMT_20161101	PSMs_Used_PAMI_GMCSF_A_TMT_20161027	TotInt_126C_PAMI_GMCSF_A_TMT_20161027	TotInt_127N_PAMI_GMCSF_A_TMT_20161027	TotInt_127C_PAMI_GMCSF_A_TMT_20161027	TotInt_128N_PAMI_GMCSF_A_TMT_20161027	TotInt_128C_PAMI_GMCSF_A_TMT_20161027	TotInt_129N_PAMI_GMCSF_A_TMT_20161027	TotInt_129C_PAMI_GMCSF_A_TMT_20161027	TotInt_130N_PAMI_GMCSF_A_TMT_20161027	TotInt_130C_PAMI_GMCSF_A_TMT_20161027	TotInt_131N_PAMI_GMCSF_A_TMT_20161027	PSMs_Used_PAMI_GMCSF_B_TMT_20161028	TotInt_126C_PAMI_GMCSF_B_TMT_20161028	TotInt_127N_PAMI_GMCSF_B_TMT_20161028	TotInt_127C_PAMI_GMCSF_B_TMT_20161028	TotInt_128N_PAMI_GMCSF_B_TMT_20161028	TotInt_128C_PAMI_GMCSF_B_TMT_20161028	TotInt_129N_PAMI_GMCSF_B_TMT_20161028	TotInt_129C_PAMI_GMCSF_B_TMT_20161028	TotInt_130N_PAMI_GMCSF_B_TMT_20161028	TotInt_130C_PAMI_GMCSF_B_TMT_20161028	TotInt_131N_PAMI_GMCSF_B_TMT_20161028	PSMs_Used_PAMI_GMCSF_C_TMT_20161031	TotInt_126C_PAMI_GMCSF_C_TMT_20161031	TotInt_127N_PAMI_GMCSF_C_TMT_20161031	TotInt_127C_PAMI_GMCSF_C_TMT_20161031	TotInt_128N_PAMI_GMCSF_C_TMT_20161031	TotInt_128C_PAMI_GMCSF_C_TMT_20161031	TotInt_129N_PAMI_GMCSF_C_TMT_20161031	TotInt_129C_PAMI_GMCSF_C_TMT_20161031	TotInt_130N_PAMI_GMCSF_C_TMT_20161031	TotInt_130C_PAMI_GMCSF_C_TMT_20161031	TotInt_131N_PAMI_GMCSF_C_TMT_20161031	PSMs_Used_PAMI_GMCSF_D_TMT_20161101	TotInt_126C_PAMI_GMCSF_D_TMT_20161101	TotInt_127N_PAMI_GMCSF_D_TMT_20161101	TotInt_127C_PAMI_GMCSF_D_TMT_20161101	TotInt_128N_PAMI_GMCSF_D_TMT_20161101	TotInt_128C_PAMI_GMCSF_D_TMT_20161101	TotInt_129N_PAMI_GMCSF_D_TMT_20161101	TotInt_129C_PAMI_GMCSF_D_TMT_20161101	TotInt_130N_PAMI_GMCSF_D_TMT_20161101	TotInt_130C_PAMI_GMCSF_D_TMT_20161101	TotInt_131N_PAMI_GMCSF_D_TMT_20161101
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	10	8	0.800	2	3	2	3	2	3	1	2	2.000	3.000	1.059	2.087	2	74329.689453	101298.167969	52854.695312	44500.836914	52085.164063	56319.529297	56510.714844	48716.182617	78658.896484	17819.164795	3	64524.656739	53482.721436	69628.076416	77233.547851	55775.554931	64372.745116	62785.565674	57055.629273	33631.798827	49033.935547	1	48011.941406	34232.914062	42797.414062	22176.369141	40377.589844	44395.5	58417.746094	33158.277344	33866.433594	19132.537109	2	27976.562744	30171.581543	39626.158203	27865.119629	35590.298096	22801.732666	36150.882568	43239.813232	34543.468872	26409.090088
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	25.1	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	63	61	0.968	14	10	17	22	14	10	16	21	14.000	10.000	16.941	21.913	14	3298243.95923	2431664.81775	1900848.28894	1994008.13013	2317061.11426	2063184.59619	2302561.55109	1962335.89557	2764925.0553	1995646.37671	10	2257067.36719	1860451.75891	2444217.74829	1997302.80054	2060154.99829	2224331.73413	2144861.06323	1507465.71265	2164650.92188	2225487.96728	16	2055418.00598	1611746.89731	1791429.59106	2094892.80804	1750473.51721	2489446.61942	1800779.77026	2208703.75781	1762347.90894	1446000.23669	21	1607111.57629	1058085.52228	1213223.41885	1141050.02954	1094802.31286	1143182.07043	1086438.34888	1282309.36328	1227012.83954	1457792.19141
3	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	 	 	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, sp|P07724|ALBU_MOUSE	contaminant	16.5	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	270	11	0.041	61	62	79	68	2	3	3	3	2.825	3.181	3.233	3.843	2	106790.361328	123249.893555	92798.158203	81894.297852	97015.979492	100890.15918	98612.523926	97189.234376	104453.931641	150556.143555	3	100445.425781	47083.413574	100989.083984	107626.266114	63822.695801	63966.293457	39133.727051	27013.475829	62535.410644	77939.892579	3	56272.904785	66591.458496	38329.562744	36954.004394	34606.973388	38428.010743	44254.034546	41176.699219	44819.009765	42604.599854	3	65715.00293	58601.247071	82202.40625	44792.946289	55621.939453	55478.43164	58654.219726	48839.267579	56916.65918	78219.06543
4	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	 	 	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, sp|P07724|ALBU_MOUSE	contaminant	14.1	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	61	6	0.098	17	12	15	17	1	3	1	1	1.378	3.015	1.023	1.378	1	218189.9375	94202.789062	237933.640625	50425.890625	22355.578125	141361.03125	66038.25	160668.375	99812.429688	146539.515625	3	39255.359863	367192.800781	174301.62207	90561.374512	146112.101562	145594.455078	92838.991699	113969.50293	37776.343262	34152.751465	1	690281.1875	457713.5625	344367.34375	74751.484375	285297.9375	220422.890625	86957.070312	2031578.5	617451.25	239760.171875	1	48361.476562	45358.746094	26640.537109	39205.84375	42315.378906	42403.160156	45335.957031	30010.529297	67121.648438	62643.84375
6	1	CONT_019|CAS1_BOVIN	 	 	 	contaminant	14.5	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	8	8	1.000	1	3	2	2	1	3	2	2	1.000	3.000	2.000	2.000	1	422.771179	1503.240601	2044.369385	1083.726074	1081.386475	3302.95874	1029.885254	2653.98999	835.428711	3425.981934	3	3061.591735	4120.226746	8455.827881	4402.291504	7935.168091	6344.554565	23506.374511	44428.810547	8968.42395	7817.322021	2	20921.743652	15629.167481	6253.708741	13596.18457	11341.842285	23290.435547	10824.216308	14444.938965	16965.491699	39503.348633	2	16023.920166	12497.577881	7951.968994	14312.801269	22541.034179	31253.496094	11903.284668	9048.545654	7830.417968	10710.10144
7	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	11.6	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	8	8	1.000	2	3	1	2	2	3	1	2	2.000	3.000	1.000	2.000	2	5219.480469	7008.223633	6794.881348	5969.061523	4384.416504	6224.126953	4173.001953	10359.302734	3246.328613	9245.854492	3	5532.119873	7258.334961	15143.587281	3746.837647	12076.588623	8653.654297	26708.722656	91310.842285	13708.096374	6638.711182	1	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	2	16966.087891	11944.34082	6498.102539	11413.099609	23964.453125	25459.996094	11487.657227	6952.356934	7464.055664	9683.723633
9	1	CONT_064|gi|254622|bbs|112352 (+1)	CONT_064|gi|254622|bbs|112352&CONT_072|gi|547754|sp|P35908|K22E_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE	contaminant	32.1	645	65911	(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa].	67	33	0.493	20	14	19	14	12	6	10	5	16.676	11.070	15.867	11.384	12	108929.894623	227168.257386	127835.531554	177178.223663	295964.517578	194486.251098	167622.838318	196234.938661	160861.793456	260633.045409	6	188057.935058	338914.40918	189619.002197	175234.48462	156923.806397	218381.751953	111412.261719	211335.173584	108888.117676	142109.181763	10	256653.108155	148330.838625	180661.075684	215756.682617	134534.745851	531829.78662	273100.841553	212848.141358	220387.465089	174085.11255	5	127428.885742	147217.384276	126457.719239	95878.458253	194261.93042	100858.381836	141977.334473	89100.903076	235158.225098	176135.190429
10	1	CONT_068|gi|1082558|pir||S41161 (+1)	CONT_068|gi|1082558|pir||S41161&CONT_105|gi|547748|sp|P35527|K1CI_HUMAN	 	CONT_068|gi|1082558|pir||S41161, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q9QWL7|K1C17_MOUSE	contaminant	32.9	623	62129	keratin 9, cytoskeletal [Homo sapiens].	72	67	0.931	18	19	17	18	17	18	15	17	17.261	18.261	15.521	17.261	17	266645.422851	1008005.30981	429964.197754	583305.123718	725725.983155	522363.92749	563496.130615	562999.628419	376373.684449	937338.174803	18	1175989.28943	973432.214874	809239.740479	957848.613159	595368.670166	782105.01001	325946.684205	770213.778442	597607.478272	519149.106079	15	561267.712891	369867.086792	237416.884646	509684.036866	197114.92389	839305.229003	364275.47888	394130.291503	477993.860962	337626.348023	17	333206.818544	320387.564819	392661.164733	199882.730895	346629.267089	280633.776002	301499.570802	174556.004914	421311.035647	526708.458314
15	1	CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN	 	 	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE	contaminant	37.4	644	66017	KERATIN, TYPE II CYTOSKELETAL 1 (CYTOKERATIN 1) (K1) (CK 1) (67 KD CYTOKERATIN) (HAIR ALPHA PROTEIN) [Homo sapiens].	98	23	0.235	22	30	28	18	5	11	4	3	20.476	26.863	23.309	15.708	5	53072.546875	241551.812501	78665.59375	112041.25	163006.5	113005.585937	100784.566406	111863.855469	104576.902343	134413.443359	11	242697.064942	301016.634765	256910.499635	228863.229981	207810.890625	325890.152344	106892.024719	252881.459228	152325.643129	117058.164306	4	192628.195313	69744.964843	56294.413086	37143.239257	55895.021485	165998.131836	382791.078125	31166.837891	150330.179688	41726.369141	3	22902.035156	45093.683594	64890.832031	25318.791016	55125.339844	20350.195312	41838.769531	23715.273438	78717.242188	35220.125
16	1	CONT_089|gi|71536|pir||KRHU2	 	 	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE	contaminant	30.0	493	52788	keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].	53	0	0.000	11	13	16	13	0	0	0	0	1.000	1.000	0.500	0.500	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
