New PAW TMT results file!																																																																					
"Program ""PAW_quantitative_report.py"" run on Sun Oct 15 16:01:44 2017"																																																																					
 																																																																					
 																											DDC_GM_20	LF_WT_4	DDC_WT_12	HF_GM_13	HF_GM_8	pool_c1	LF_GM_15	pool_c2	LF_WT_22	HF_WT_1		HF_WT_19	LF_GM_18	pool_c3	LF_WT_10	pool_c4	LF_GM_21	DDC_WT_2	HF_GM_25	DDC_GM_11	HF_WT_7		pool_c5	LF_WT_3	DDC_WT_24	DDC_GM_5	DDC_WT_17	LF_GM_23	HF_GM_6	HF_WT_16	pool_c6	DDC_GM_14		p_DDC_GM	pool_c7	p_LF_WT	p_DDC_WT	p_HF_GM	R1_DG14	pool_c8	R2_DW17	p_LF_GM	p_HF_WT
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_PAMI_GMCSF_A_TMT_20161027	Total_PAMI_GMCSF_B_TMT_20161028	Total_PAMI_GMCSF_C_TMT_20161031	Total_PAMI_GMCSF_D_TMT_20161101	Unique_PAMI_GMCSF_A_TMT_20161027	Unique_PAMI_GMCSF_B_TMT_20161028	Unique_PAMI_GMCSF_C_TMT_20161031	Unique_PAMI_GMCSF_D_TMT_20161101	Corrected_PAMI_GMCSF_A_TMT_20161027	Corrected_PAMI_GMCSF_B_TMT_20161028	Corrected_PAMI_GMCSF_C_TMT_20161031	Corrected_PAMI_GMCSF_D_TMT_20161101	PSMs_Used_PAMI_GMCSF_A_TMT_20161027	TotInt_126C_PAMI_GMCSF_A_TMT_20161027	TotInt_127N_PAMI_GMCSF_A_TMT_20161027	TotInt_127C_PAMI_GMCSF_A_TMT_20161027	TotInt_128N_PAMI_GMCSF_A_TMT_20161027	TotInt_128C_PAMI_GMCSF_A_TMT_20161027	TotInt_129N_PAMI_GMCSF_A_TMT_20161027	TotInt_129C_PAMI_GMCSF_A_TMT_20161027	TotInt_130N_PAMI_GMCSF_A_TMT_20161027	TotInt_130C_PAMI_GMCSF_A_TMT_20161027	TotInt_131N_PAMI_GMCSF_A_TMT_20161027	PSMs_Used_PAMI_GMCSF_B_TMT_20161028	TotInt_126C_PAMI_GMCSF_B_TMT_20161028	TotInt_127N_PAMI_GMCSF_B_TMT_20161028	TotInt_127C_PAMI_GMCSF_B_TMT_20161028	TotInt_128N_PAMI_GMCSF_B_TMT_20161028	TotInt_128C_PAMI_GMCSF_B_TMT_20161028	TotInt_129N_PAMI_GMCSF_B_TMT_20161028	TotInt_129C_PAMI_GMCSF_B_TMT_20161028	TotInt_130N_PAMI_GMCSF_B_TMT_20161028	TotInt_130C_PAMI_GMCSF_B_TMT_20161028	TotInt_131N_PAMI_GMCSF_B_TMT_20161028	PSMs_Used_PAMI_GMCSF_C_TMT_20161031	TotInt_126C_PAMI_GMCSF_C_TMT_20161031	TotInt_127N_PAMI_GMCSF_C_TMT_20161031	TotInt_127C_PAMI_GMCSF_C_TMT_20161031	TotInt_128N_PAMI_GMCSF_C_TMT_20161031	TotInt_128C_PAMI_GMCSF_C_TMT_20161031	TotInt_129N_PAMI_GMCSF_C_TMT_20161031	TotInt_129C_PAMI_GMCSF_C_TMT_20161031	TotInt_130N_PAMI_GMCSF_C_TMT_20161031	TotInt_130C_PAMI_GMCSF_C_TMT_20161031	TotInt_131N_PAMI_GMCSF_C_TMT_20161031	PSMs_Used_PAMI_GMCSF_D_TMT_20161101	TotInt_126C_PAMI_GMCSF_D_TMT_20161101	TotInt_127N_PAMI_GMCSF_D_TMT_20161101	TotInt_127C_PAMI_GMCSF_D_TMT_20161101	TotInt_128N_PAMI_GMCSF_D_TMT_20161101	TotInt_128C_PAMI_GMCSF_D_TMT_20161101	TotInt_129N_PAMI_GMCSF_D_TMT_20161101	TotInt_129C_PAMI_GMCSF_D_TMT_20161101	TotInt_130N_PAMI_GMCSF_D_TMT_20161101	TotInt_130C_PAMI_GMCSF_D_TMT_20161101	TotInt_131N_PAMI_GMCSF_D_TMT_20161101
1	1	CONT_005|Trypa5|PromTArt5	 	 	"CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG"	contaminant	100	50	5560	"Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003)."	10	8	0.8	2	3	2	3	2	3	1	2	2	3	1.059	2.087	2	74329.68945	101298.168	52854.69531	44500.83691	52085.16406	56319.5293	56510.71484	48716.18262	78658.89648	17819.1648	3	64524.65674	53482.72144	69628.07642	77233.54785	55775.55493	64372.74512	62785.56567	57055.62927	33631.79883	49033.93555	1	48011.94141	34232.91406	42797.41406	22176.36914	40377.58984	44395.5	58417.74609	33158.27734	33866.43359	19132.53711	2	27976.56274	30171.58154	39626.1582	27865.11963	35590.2981	22801.73267	36150.88257	43239.81323	34543.46887	26409.09009
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	"CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG"	contaminant	25.1	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	63	61	0.968	14	10	17	22	14	10	16	21	14	10	16.941	21.913	14	3298243.959	2431664.818	1900848.289	1994008.13	2317061.114	2063184.596	2302561.551	1962335.896	2764925.055	1995646.377	10	2257067.367	1860451.759	2444217.748	1997302.801	2060154.998	2224331.734	2144861.063	1507465.713	2164650.922	2225487.967	16	2055418.006	1611746.897	1791429.591	2094892.808	1750473.517	2489446.619	1800779.77	2208703.758	1762347.909	1446000.237	21	1607111.576	1058085.522	1213223.419	1141050.03	1094802.313	1143182.07	1086438.349	1282309.363	1227012.84	1457792.191
3	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	 	 	"CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, sp|P07724|ALBU_MOUSE"	contaminant	16.5	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	270	11	0.041	61	62	79	68	2	3	3	3	2.825	3.181	3.233	3.843	2	106790.3613	123249.8936	92798.1582	81894.29785	97015.97949	100890.1592	98612.52393	97189.23438	104453.9316	150556.1436	3	100445.4258	47083.41357	100989.084	107626.2661	63822.6958	63966.29346	39133.72705	27013.47583	62535.41064	77939.89258	3	56272.90479	66591.4585	38329.56274	36954.00439	34606.97339	38428.01074	44254.03455	41176.69922	44819.00977	42604.59985	3	65715.00293	58601.24707	82202.40625	44792.94629	55621.93945	55478.43164	58654.21973	48839.26758	56916.65918	78219.06543
4	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	 	 	"CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT, sp|P07724|ALBU_MOUSE"	contaminant	14.1	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	61	6	0.098	17	12	15	17	1	3	1	1	1.378	3.015	1.023	1.378	1	218189.9375	94202.78906	237933.6406	50425.89063	22355.57813	141361.0313	66038.25	160668.375	99812.42969	146539.5156	3	39255.35986	367192.8008	174301.6221	90561.37451	146112.1016	145594.4551	92838.9917	113969.5029	37776.34326	34152.75147	1	690281.1875	457713.5625	344367.3438	74751.48438	285297.9375	220422.8906	86957.07031	2031578.5	617451.25	239760.1719	1	48361.47656	45358.74609	26640.53711	39205.84375	42315.37891	42403.16016	45335.95703	30010.5293	67121.64844	62643.84375
6	1	CONT_019|CAS1_BOVIN	 	 	 	contaminant	14.5	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	8	8	1	1	3	2	2	1	3	2	2	1	3	2	2	1	422.771179	1503.240601	2044.369385	1083.726074	1081.386475	3302.95874	1029.885254	2653.98999	835.428711	3425.981934	3	3061.591735	4120.226746	8455.827881	4402.291504	7935.168091	6344.554565	23506.37451	44428.81055	8968.42395	7817.322021	2	20921.74365	15629.16748	6253.708741	13596.18457	11341.84229	23290.43555	10824.21631	14444.93897	16965.4917	39503.34863	2	16023.92017	12497.57788	7951.968994	14312.80127	22541.03418	31253.49609	11903.28467	9048.545654	7830.417968	10710.10144
7	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	11.6	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	8	8	1	2	3	1	2	2	3	1	2	2	3	1	2	2	5219.480469	7008.223633	6794.881348	5969.061523	4384.416504	6224.126953	4173.001953	10359.30273	3246.328613	9245.854492	3	5532.119873	7258.334961	15143.58728	3746.837647	12076.58862	8653.654297	26708.72266	91310.84229	13708.09637	6638.711182	1	50	50	50	50	50	50	50	50	50	50	2	16966.08789	11944.34082	6498.102539	11413.09961	23964.45313	25459.99609	11487.65723	6952.356934	7464.055664	9683.723633
9	1	CONT_064|gi|254622|bbs|112352 (+1)	CONT_064|gi|254622|bbs|112352&CONT_072|gi|547754|sp|P35908|K22E_HUMAN	 	"CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9DCV7|K2C7_MOUSE"	contaminant	32.1	645	65911	"(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa]."	67	33	0.493	20	14	19	14	12	6	10	5	16.676	11.07	15.867	11.384	12	108929.8946	227168.2574	127835.5316	177178.2237	295964.5176	194486.2511	167622.8383	196234.9387	160861.7935	260633.0454	6	188057.9351	338914.4092	189619.0022	175234.4846	156923.8064	218381.752	111412.2617	211335.1736	108888.1177	142109.1818	10	256653.1082	148330.8386	180661.0757	215756.6826	134534.7459	531829.7866	273100.8416	212848.1414	220387.4651	174085.1126	5	127428.8857	147217.3843	126457.7192	95878.45825	194261.9304	100858.3818	141977.3345	89100.90308	235158.2251	176135.1904
